order,list,item,cond,target_position,prepositions,order_of_mention,target_number,comp_number,Hindi,firstDisplay,secondDisplay,expTrials,pair_ID,comp_unique_ID1,animacy_cong,target_gender,comp1_animacy,target,competitor,recordingName,target1,target2
2,1,P3,9,,,2,singular,,The kiwis are on Number 6 and they are below the man.,P3_1.jpg,P3_2.jpg,N,,,,,,corn,and,N_List1_Order2_Item_P3_Cond9,"""Now they are on Number 4.""","""Now the kiwis are on Number 4."""
2,2,P3,9,,,2,singular,,The kiwis are on Number 6 and they are below the man.,P3_1.jpg,P3_2.jpg,N,,,,,,corn,and,N_List2_Order2_Item_P3_Cond9,"""Now they are on Number 4.""","""Now the kiwis are on Number 4."""
2,3,P3,9,,,2,singular,,The kiwis are on Number 6 and they are below the man.,P3_1.jpg,P3_2.jpg,N,,,,,,corn,and,N_List3_Order2_Item_P3_Cond9,"""Now they are on Number 4.""","""Now the kiwis are on Number 4."""
2,4,P3,9,,,2,singular,,The kiwis are on Number 6 and they are below the man.,P3_1.jpg,P3_2.jpg,N,,,,,,corn,and,N_List4_Order2_Item_P3_Cond9,"""Now they are on Number 4.""","""Now the kiwis are on Number 4."""
3,1,X41,9,,,1,singular,,The make-up artist above the helmets is on Number 2.,X41_9_1.jpg,X41_9_2.jpg,N,,,,,,make-up,above,N_List1_Order3_Item_X41_Cond9,"""Now she is on Number 6.""","""Now the make-up artist is on Number 6."""
3,2,X41,9,,,1,singular,,The make-up artist above the helmets is on Number 2.,X41_9_1.jpg,X41_9_2.jpg,N,,,,,,make-up,above,N_List2_Order3_Item_X41_Cond9,"""Now she is on Number 6.""","""Now the make-up artist is on Number 6."""
3,3,X41,9,,,1,singular,,The make-up artist above the helmets is on Number 2.,X41_9_1.jpg,X41_9_2.jpg,N,,,,,,make-up,above,N_List3_Order3_Item_X41_Cond9,"""Now she is on Number 6.""","""Now the make-up artist is on Number 6."""
3,4,X41,9,,,1,singular,,The make-up artist above the helmets is on Number 2.,X41_9_1.jpg,X41_9_2.jpg,N,,,,,,make-up,above,N_List4_Order3_Item_X41_Cond9,"""Now she is on Number 6.""","""Now the make-up artist is on Number 6."""
4,1,P2,9,,,1,plural,,The grapes next to the monkey are on Number 3.,P2_1.jpg,P2_2.jpg,N,,,,,,grapes,monkey,N_List1_Order4_Item_P2_Cond9,"""Now they are on Number 1.""","""Now the grapes are on Number 1."""
4,2,P2,9,,,1,plural,,The grapes next to the monkey are on Number 3.,P2_1.jpg,P2_2.jpg,N,,,,,,grapes,monkey,N_List2_Order4_Item_P2_Cond9,"""Now they are on Number 1.""","""Now the grapes are on Number 1."""
4,3,P2,9,,,1,plural,,The grapes next to the monkey are on Number 3.,P2_1.jpg,P2_2.jpg,N,,,,,,grapes,monkey,N_List3_Order4_Item_P2_Cond9,"""Now they are on Number 1.""","""Now the grapes are on Number 1."""
4,4,P2,9,,,1,plural,,The grapes next to the monkey are on Number 3.,P2_1.jpg,P2_2.jpg,N,,,,,,grapes,monkey,N_List4_Order4_Item_P2_Cond9,"""Now they are on Number 1.""","""Now the grapes are on Number 1."""
5,1,P4,9,,,2,singular,,The fences are below the woman and they are on Number 4.,P4_1.jpg,P4_2.jpg,N,,,,,,fences,below,N_List1_Order5_Item_P4_Cond9,"""Now they are on Number 3.""","""Now the fences are on Number 3."""
5,2,P4,9,,,2,singular,,The fences are below the woman and they are on Number 4.,P4_1.jpg,P4_2.jpg,N,,,,,,fences,below,N_List2_Order5_Item_P4_Cond9,"""Now they are on Number 3.""","""Now the fences are on Number 3."""
5,3,P4,9,,,2,singular,,The fences are below the woman and they are on Number 4.,P4_1.jpg,P4_2.jpg,N,,,,,,fences,below,N_List3_Order5_Item_P4_Cond9,"""Now they are on Number 3.""","""Now the fences are on Number 3."""
5,4,P4,9,,,2,singular,,The fences are below the woman and they are on Number 4.,P4_1.jpg,P4_2.jpg,N,,,,,,fences,below,N_List4_Order5_Item_P4_Cond9,"""Now they are on Number 3.""","""Now the fences are on Number 3."""
